,LatentDim0,LatentDim1,LatentDim2,LatentDim3,LatentDim4,LatentDim5,LatentDim6,LatentDim7,LatentDim8,LatentDim9,LatentDim10,LatentDim11,LatentDim12
AUCs,0.36608382779952026,0.37930816816058577,0.798289357404368,0.8128077262971847,0.8074106804696377,0.8198775407145562,0.8241068046963768,0.7970268905441231,0.7695682363337962,0.7888839792955435,0.8365421032697892,0.821865926019442,0.8211715692463073
Normal_MSE,0.002722272416576743,0.0026521836407482624,0.0004175313806626946,0.00037636366323567927,0.0003908893559128046,0.0003793176438193768,0.0003908881335519254,0.00042115812539123,0.00040126516250893474,0.0004510657163336873,0.00035649287747219205,0.00036579789593815804,0.00040713121416047215
Abnormal_MSE,0.0019001381006091833,0.0019020427716895938,0.0008098962716758251,0.0007798401056788862,0.0008140813442878425,0.0008218800649046898,0.000834779639262706,0.0008604967733845115,0.000727112521417439,0.0009183268994092941,0.0008379023638553917,0.0007796255522407591,0.0009222166845574975
