,LatentDim13,LatentDim14,LatentDim15,LatentDim16,LatentDim17,LatentDim18,LatentDim19
AUCs,0.7190277777777778,0.830625,0.7948611111111111,0.7690972222222222,0.831736111111111,0.849236111111111,0.8213194444444445
Normal_MSE,0.001311368541792035,0.0010240410920232534,0.0011415199842303991,0.0010404287604615092,0.0009129375102929771,0.000962929567322135,0.0010213780915364623
Abnormal_MSE,0.0015633876901119947,0.0012721014209091663,0.0014067355077713728,0.001252270769327879,0.001136395032517612,0.0012039723806083202,0.0012713558971881866
