,LatentDim13,LatentDim14,LatentDim15,LatentDim16,LatentDim17,LatentDim18,LatentDim19
AUCs,0.780625,0.805763888888889,0.8063888888888889,0.8108333333333333,0.7936805555555555,0.7956249999999999,0.7769444444444443
Normal_MSE,0.0007852656417526305,0.00067334552295506,0.0007758944411762059,0.0007095297332853079,0.0007128931465558708,0.0007105814875103533,0.0007846711669117212
Abnormal_MSE,0.0009790404001250863,0.0008339894120581448,0.0009708155994303524,0.0008899784879758954,0.0008844205876812339,0.000876070698723197,0.0009672732558101416
