,LatentDim13,LatentDim14,LatentDim15,LatentDim16,LatentDim17,LatentDim18,LatentDim19
AUCs,0.6548169791413035,0.6687768849931013,0.6797337878418959,0.7216135053972892,0.6688580472364256,0.661553445337229,0.713172632091551
Normal_MSE,0.0015225631650537252,0.001369314850308001,0.001308521954342723,0.001197050092741847,0.0012647217372432351,0.0012639688793569803,0.0012521452736109495
Abnormal_MSE,0.0020019819494336843,0.0017899423837661743,0.0017601537983864546,0.0016645858995616436,0.0017105474835261703,0.0016046807868406177,0.0017147604376077652
