,LatentDim0,LatentDim1,LatentDim2,LatentDim3,LatentDim4,LatentDim5,LatentDim6,LatentDim7,LatentDim8,LatentDim9,LatentDim10,LatentDim11,LatentDim12
AUCs,0.6181316451586721,0.6161837513188866,0.6233260287314341,0.6181316451586722,0.623488353218083,0.6586316045775504,0.6446716987257528,0.657089521954387,0.6521386251115981,0.6564402240077916,0.6742147552958364,0.6589562535508482,0.6971025079133187
Normal_MSE,0.0031229660380631685,0.0022307850886136293,0.0031166719272732735,0.001920875976793468,0.001939739566296339,0.001749595277942717,0.0016176308272406459,0.0017699908930808306,0.0015231677098199725,0.0016194378258660436,0.0015244141686707735,0.0014242178294807673,0.0013074565213173628
Abnormal_MSE,0.011086264625191689,0.0033496420364826918,0.011177727952599525,0.0026943485718220472,0.0025903740897774696,0.002334051067009568,0.0021198031026870012,0.002292026299983263,0.0020943949930369854,0.0021880471613258123,0.0021558820735663176,0.0018276990158483386,0.001826257910579443
